ANYOMES,TIPO_ORIGEN,PAIS_ORIGEN,CIUDAD_DESTINO,PASAJEROS,VARIACION_INTERANUAL,AÑO,MES,fecha
202409,Nacional,España,Jerez de la Frontera,29792,5.36,2024,9,2024-09-01
202410,Internacional,Total,Jerez de la Frontera,23136,18.76,2024,10,2024-10-01
202410,Internacional,Suiza,Jerez de la Frontera,596,-15.09,2024,10,2024-10-01
202410,Internacional,Luxemburgo,Jerez de la Frontera,532,-16.87,2024,10,2024-10-01
202410,Internacional,Reino Unido,Jerez de la Frontera,2196,-16.5,2024,10,2024-10-01
202410,Internacional,Alemania,Jerez de la Frontera,19407,32.28,2024,10,2024-10-01
202410,Nacional,Total,Jerez de la Frontera,27298,-1.95,2024,10,2024-10-01
202410,Nacional,España,Jerez de la Frontera,27298,-1.95,2024,10,2024-10-01
202410,Internacional,Bélgica,Jerez de la Frontera,405,-51.61,2024,10,2024-10-01
202411,Nacional,España,Jerez de la Frontera,20138,9.57,2024,11,2024-11-01
202411,Nacional,Total,Jerez de la Frontera,20138,9.57,2024,11,2024-11-01
202411,Internacional,Alemania,Jerez de la Frontera,5221,35.25,2024,11,2024-11-01
202411,Internacional,Luxemburgo,Jerez de la Frontera,164,50.45,2024,11,2024-11-01
202411,Internacional,Total,Jerez de la Frontera,5385,32.43,2024,11,2024-11-01
202412,Internacional,Alemania,Jerez de la Frontera,1882,10.38,2024,12,2024-12-01
202412,Internacional,Total,Jerez de la Frontera,1882,10.38,2024,12,2024-12-01
202412,Nacional,Total,Jerez de la Frontera,19439,1.99,2024,12,2024-12-01
202412,Nacional,España,Jerez de la Frontera,19439,1.99,2024,12,2024-12-01
202501,Nacional,España,Jerez de la Frontera,15602,-4.9,2025,1,2025-01-01
202501,Nacional,Total,Jerez de la Frontera,15602,-4.9,2025,1,2025-01-01
202501,Internacional,Alemania,Jerez de la Frontera,781,66.17,2025,1,2025-01-01
202501,Internacional,Total,Jerez de la Frontera,781,66.17,2025,1,2025-01-01
202502,Nacional,España,Jerez de la Frontera,16459,-18.44,2025,2,2025-02-01
202502,Nacional,Total,Jerez de la Frontera,16459,-18.44,2025,2,2025-02-01
202502,Internacional,Alemania,Jerez de la Frontera,2013,-5.75,2025,2,2025-02-01
202502,Internacional,Total,Jerez de la Frontera,2080,-2.62,2025,2,2025-02-01
202502,Internacional,Reino Unido,Jerez de la Frontera,67,,2025,2,2025-02-01
202503,Internacional,Total,Jerez de la Frontera,5970,-20.53,2025,3,2025-03-01
202503,Internacional,Alemania,Jerez de la Frontera,5970,-15.76,2025,3,2025-03-01
202503,Nacional,España,Jerez de la Frontera,20548,-11.03,2025,3,2025-03-01
202503,Nacional,Total,Jerez de la Frontera,20548,-11.03,2025,3,2025-03-01
202504,Internacional,Total,Jerez de la Frontera,11293,-34.28,2025,4,2025-04-01
202504,Internacional,Luxemburgo,Jerez de la Frontera,487,-23.42,2025,4,2025-04-01
202504,Internacional,Bélgica,Jerez de la Frontera,531,-12.95,2025,4,2025-04-01
202504,Nacional,España,Jerez de la Frontera,21544,-18.44,2025,4,2025-04-01
202504,Nacional,Total,Jerez de la Frontera,21544,-18.44,2025,4,2025-04-01
202504,Internacional,Alemania,Jerez de la Frontera,10275,-26.03,2025,4,2025-04-01
202505,Nacional,España,Jerez de la Frontera,24109,-14.49,2025,5,2025-05-01
202505,Nacional,Total,Jerez de la Frontera,24109,-14.49,2025,5,2025-05-01
202505,Internacional,Alemania,Jerez de la Frontera,20091,10.17,2025,5,2025-05-01
202505,Internacional,Bélgica,Jerez de la Frontera,536,-19.76,2025,5,2025-05-01
202505,Internacional,Luxemburgo,Jerez de la Frontera,1382,115.93,2025,5,2025-05-01
202505,Internacional,Reino Unido,Jerez de la Frontera,3080,-2.22,2025,5,2025-05-01
202505,Internacional,Total,Jerez de la Frontera,25089,10.55,2025,5,2025-05-01
202506,Internacional,Polonia,Jerez de la Frontera,532,,2025,6,2025-06-01
202506,Internacional,Total,Jerez de la Frontera,25338,-1.52,2025,6,2025-06-01
202506,Internacional,Suiza,Jerez de la Frontera,131,18.01,2025,6,2025-06-01
202506,Internacional,Reino Unido,Jerez de la Frontera,2618,-26.1,2025,6,2025-06-01
202506,Nacional,Total,Jerez de la Frontera,22011,-10.29,2025,6,2025-06-01
202506,Internacional,Bélgica,Jerez de la Frontera,642,-20.93,2025,6,2025-06-01
202506,Internacional,Alemania,Jerez de la Frontera,20188,-1.82,2025,6,2025-06-01
202506,Nacional,España,Jerez de la Frontera,22011,-10.29,2025,6,2025-06-01
202506,Internacional,Luxemburgo,Jerez de la Frontera,1227,75.03,2025,6,2025-06-01
202507,Internacional,Reino Unido,Jerez de la Frontera,2702,9.34,2025,7,2025-07-01
202507,Internacional,Polonia,Jerez de la Frontera,698,,2025,7,2025-07-01
202507,Internacional,Suiza,Jerez de la Frontera,565,20.72,2025,7,2025-07-01
202507,Internacional,Luxemburgo,Jerez de la Frontera,636,16.69,2025,7,2025-07-01
202507,Internacional,Total,Jerez de la Frontera,25183,5.11,2025,7,2025-07-01
202507,Internacional,Alemania,Jerez de la Frontera,20016,-0.27,2025,7,2025-07-01
202507,Nacional,Total,Jerez de la Frontera,25077,7.22,2025,7,2025-07-01
202507,Nacional,España,Jerez de la Frontera,25077,7.22,2025,7,2025-07-01
202507,Internacional,Bélgica,Jerez de la Frontera,566,40.79,2025,7,2025-07-01
202508,Internacional,Bélgica,Jerez de la Frontera,682,,2025,8,2025-08-01
202508,Internacional,Polonia,Jerez de la Frontera,870,,2025,8,2025-08-01
202508,Internacional,Total,Jerez de la Frontera,26178,10.36,2025,8,2025-08-01
202508,Internacional,Suiza,Jerez de la Frontera,631,27.99,2025,8,2025-08-01
202508,Nacional,Total,Jerez de la Frontera,26403,5.41,2025,8,2025-08-01
202508,Internacional,Luxemburgo,Jerez de la Frontera,696,8.41,2025,8,2025-08-01
202508,Internacional,Alemania,Jerez de la Frontera,20160,6.15,2025,8,2025-08-01
202508,Nacional,España,Jerez de la Frontera,26403,5.41,2025,8,2025-08-01
202508,Internacional,Reino Unido,Jerez de la Frontera,3139,-12.63,2025,8,2025-08-01
202509,Internacional,Total,Jerez de la Frontera,27742,18.26,2025,9,2025-09-01
202509,Internacional,Suiza,Jerez de la Frontera,785,8.12,2025,9,2025-09-01
202509,Internacional,Reino Unido,Jerez de la Frontera,2677,24.22,2025,9,2025-09-01
202509,Internacional,Luxemburgo,Jerez de la Frontera,957,61.65,2025,9,2025-09-01
202509,Internacional,Polonia,Jerez de la Frontera,700,,2025,9,2025-09-01
202509,Internacional,Alemania,Jerez de la Frontera,22095,13.78,2025,9,2025-09-01
202509,Nacional,Total,Jerez de la Frontera,23077,-22.53,2025,9,2025-09-01
202509,Nacional,España,Jerez de la Frontera,23077,-22.53,2025,9,2025-09-01
202509,Internacional,Bélgica,Jerez de la Frontera,528,-6.71,2025,9,2025-09-01
202510,Nacional,España,Jerez de la Frontera,21612,-20.82,2025,10,2025-10-01
202510,Nacional,Total,Jerez de la Frontera,21612,-20.82,2025,10,2025-10-01
202510,Internacional,Alemania,Jerez de la Frontera,20980,8.1,2025,10,2025-10-01
