categoria,nombre,localidad,url_ficha,slug
recursos-naturales,Playas De Chipiona,Chipiona,https://rutadelvinojerez.es/empresas-y-servicios/playas-de-chipiona,playas-de-chipiona
recursos-naturales,Playas De El Puerto De Santa María,El Puerto de Santa María,https://rutadelvinojerez.es/empresas-y-servicios/playas-de-el-puerto-de-santa-maria,playas-de-el-puerto-de-santa-maria
recursos-naturales,Playas De Rota,Rota,https://rutadelvinojerez.es/empresas-y-servicios/playas-de-rota,playas-de-rota
recursos-naturales,Playas De Sanlúcar,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/playas-de-sanlucar,playas-de-sanlucar
recursos-naturales,Salinas De La Tapa,El Puerto de Santa María,https://rutadelvinojerez.es/empresas-y-servicios/salinas-de-la-tapa,salinas-de-la-tapa
recursos-naturales,Zoobotánico De Jerez,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/zoobotanico-de-jerez,zoobotanico-de-jerez
turismo-accesible,Bodegas Fundador,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-fundador,bodegas-fundador
turismo-accesible,Bodegas Osborne,El Puerto de Santa María,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-osborne,bodegas-osborne
turismo-accesible,Bodegas Páez Morilla,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-paez-morilla,bodegas-paez-morilla
turismo-accesible,Centro De Interpretación Del Vino Y La Sal,Chiclana de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/centro-de-interpretacion-del-vino-y-la-sal,centro-de-interpretacion-del-vino-y-la-sal
turismo-accesible,Hotel Ibis Jerez,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/hotel-ibis-jerez,hotel-ibis-jerez
turismo-accesible,Restaurante El Faro De El Puerto,El Puerto de Santa María,https://rutadelvinojerez.es/empresas-y-servicios/restaurante-el-faro-del-puerto,restaurante-el-faro-del-puerto
