resena_id,atributo,n_frases,s0,s1,s2,s3,s4,sentimiento,bodega,puntuacion
ChZDSUhNMG9nS0VJQ0FnSUM0Z0x5QUpnEAE,Vino y cata,6,0.141541,0.201091,0.277292,0.212597,0.167478,3.063,Bodegas Tradición,4.0
ChZDSUhNMG9nS0VJQ0FnSUM0Z0x5QUpnEAE,Visita y experiencia,3,0.043253,0.051979,0.204846,0.385128,0.314795,3.876,Bodegas Tradición,4.0
ChZDSUhNMG9nS0VJQ0FnSUM0aEtDdFBREAE,Instalaciones,1,0.001233,0.00153,0.029351,0.419532,0.548354,4.512,Bodegas Real Tesoro & Valdespino,5.0
ChZDSUhNMG9nS0VJQ0FnSUM0aEtDdFBREAE,Vino y cata,1,0.001233,0.00153,0.029351,0.419532,0.548354,4.512,Bodegas Real Tesoro & Valdespino,5.0
ChZDSUhNMG9nS0VJQ0FnSUM0aEtDdFBREAE,Visita y experiencia,1,0.001233,0.00153,0.029351,0.419532,0.548354,4.512,Bodegas Real Tesoro & Valdespino,5.0
ChZDSUhNMG9nS0VJQ0FnSUM0aFk2emJ3EAE,Instalaciones,1,0.003264,0.004761,0.065736,0.419953,0.506286,4.421,Bodegas Real Tesoro & Valdespino,5.0
ChZDSUhNMG9nS0VJQ0FnSUM0aFk2emJ3EAE,Personal y trato,1,0.003264,0.004761,0.065736,0.419953,0.506286,4.421,Bodegas Real Tesoro & Valdespino,5.0
ChZDSUhNMG9nS0VJQ0FnSUM0aWEtM0NnEAE,Instalaciones,1,0.002161,0.001658,0.010281,0.149461,0.836439,4.816,Bodegas Real Tesoro & Valdespino,4.0
ChZDSUhNMG9nS0VJQ0FnSUM0aWEtM0NnEAE,Personal y trato,1,0.001402,0.001373,0.020309,0.352881,0.624034,4.597,Bodegas Real Tesoro & Valdespino,4.0
ChZDSUhNMG9nS0VJQ0FnSUM0aWEtM0NnEAE,Visita y experiencia,1,0.001402,0.001373,0.020309,0.352881,0.624034,4.597,Bodegas Real Tesoro & Valdespino,4.0
ChZDSUhNMG9nS0VJQ0FnSUM0c0ppakx3EAE,Instalaciones,1,0.004052,0.006401,0.037812,0.340003,0.611732,4.549,Bodegas Tradición,5.0
ChZDSUhNMG9nS0VJQ0FnSUM0c0ppakx3EAE,Vino y cata,1,0.004052,0.006401,0.037812,0.340003,0.611732,4.549,Bodegas Tradición,5.0
ChZDSUhNMG9nS0VJQ0FnSUM0c0ppakx3EAE,Visita y experiencia,1,0.004052,0.006401,0.037812,0.340003,0.611732,4.549,Bodegas Tradición,5.0
ChZDSUhNMG9nS0VJQ0FnSUM0c2N5TmZ3EAE,Instalaciones,1,0.002106,0.008832,0.177312,0.609658,0.202093,4.001,Bodegas González Byass – Tío Pepe,4.0
